,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207
Anhui,1.0,9.0,15.0,39.0,60,70.0,106.0,152,200,237,297,340,408,480,530,591,665
Beijing,10.0,22.0,36.0,41.0,54,80.0,91.0,111,114,139,168,191,212,228,253,274,297
Chongqing,6.0,9.0,27.0,57.0,75,110.0,132.0,147,182,211,247,275,312,344,376,400,415
Fujian,1.0,5.0,10.0,18.0,18,59.0,80.0,84,101,120,144,159,179,194,205,215,224
Gansu,,2.0,2.0,4.0,7,14.0,19.0,24,26,29,40,40,51,57,57,62,67
Guangdong,26.0,32.0,53.0,78.0,98,151.0,207.0,277,354,436,535,632,725,813,895,970,1034
Guangxi,2.0,5.0,13.0,23.0,33,46.0,51.0,58,78,87,100,111,127,139,150,168,172
Guizhou,1.0,3.0,3.0,4.0,5,7.0,9.0,9,12,29,29,38,46,58,64,71,77
Hainan,4.0,5.0,8.0,19.0,22,33.0,40.0,43,46,52,62,64,72,80,91,106,115
Hebei,1.0,1.0,2.0,8.0,13,18.0,33.0,48,65,82,96,104,113,126,135,157,172
Heilongjiang,0.0,2.0,4.0,9.0,15,21.0,30.0,38,44,59,80,95,121,155,190,227,277
Henan,5.0,5.0,9.0,32.0,83,128.0,168.0,206,278,352,422,493,566,675,764,851,914
Hong Kong,0.0,2.0,2.0,5.0,5,8.0,8.0,10,10,12,13,14,15,17,21,24,24
Hubei,444.0,444.0,549.0,730.0,1052,1423.0,2714.0,3554,4903,5806,7153,9074,11177,13522,16678,19665,22112
Hunan,4.0,9.0,24.0,43.0,69,100.0,143.0,221,277,332,389,463,521,593,661,711,772
Inner Mongolia,,0.0,2.0,7.0,7,11.0,15.0,16,18,20,23,27,34,35,42,46,50
Jiangsu,,5.0,9.0,18.0,31,47.0,70.0,99,129,168,202,236,271,308,341,373,408
Jiangxi,2.0,3.0,7.0,18.0,36,48.0,72.0,109,162,240,286,333,391,476,548,600,661
Jilin,0.0,1.0,3.0,4.0,4,6.0,8.0,9,14,14,17,23,31,42,54,59,65
Liaoning,2.0,3.0,4.0,16.0,19,27.0,34.0,39,41,48,64,70,74,81,89,94,95
Macau,1.0,2.0,2.0,2.0,5,6.0,7.0,7,7,7,7,8,8,10,10,10,10
Ningxia,1.0,1.0,2.0,3.0,4,7.0,11.0,12,17,21,26,28,31,34,34,40,43
Qinghai,,,0.0,1.0,1,6.0,6.0,6,8,8,9,11,13,15,17,18,18
Shaanxi,,3.0,5.0,15.0,22,35.0,46.0,56,63,87,101,116,128,142,165,173,184
Shandong,2.0,6.0,15.0,27.0,39,75.0,95.0,130,158,184,206,230,259,275,307,347,386
Shanghai,9.0,16.0,20.0,33.0,40,53.0,66.0,96,112,135,169,182,203,219,243,257,277
Shanxi,1.0,1.0,1.0,6.0,9,13.0,20.0,27,35,39,47,56,66,74,81,90,96
Sichuan,5.0,8.0,15.0,28.0,44,69.0,90.0,108,142,177,207,231,254,282,301,321,344
Taiwan,1.0,1.0,1.0,3.0,3,5.0,8.0,8,9,10,10,10,10,11,11,16,16
Tianjin,4.0,4.0,8.0,10.0,13,22.0,24.0,27,31,32,41,48,60,67,69,78,81
Tibet,,,,,,,,0,1,1,1,1,1,1,1,1,1
Xinjiang,,2.0,2.0,3.0,4,5.0,10.0,13,14,17,18,21,24,29,32,36,39
Yunnan,1.0,1.0,5.0,11.0,11,26.0,44.0,55,70,83,93,105,114,119,124,133,136
Zhejiang,10.0,27.0,43.0,62.0,104,128.0,173.0,296,428,538,599,661,724,829,895,954,1006
